celular,data_nascimento,idade,sexo,cidade_residencial,bairro_residencial,cidade_trabalho,nome_campanha,bairro_trabalho,cidade_escola,bairro_escola,categoria_frequentada
(11) 93006-7634,1983-06-10,42,Feminino,São Paulo,Pinheiros,,placeholder_campanha,,São Paulo,Limão,Supermercados e Mercados Express
(11) 92234-9184,2001-07-12,24,Masculino,São Paulo,Pinheiros,,placeholder_campanha,,São Paulo,República,Cinema e Streaming Experience Stores
(11) 96773-1488,1939-06-07,86,Feminino,São Paulo,Itaquera,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 93157-8483,1996-12-07,28,Feminino,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Higienópolis,,,Academias e Studios Fitness
(11) 91665-8980,2008-03-14,17,Feminino,São Paulo,Limão,São Paulo,placeholder_campanha,Higienópolis,,,Cinema e Streaming Experience Stores
(11) 98443-8259,2003-01-05,22,Feminino,São Paulo,Tucuruvi,,placeholder_campanha,,,,Cinema e Streaming Experience Stores
(11) 97398-2402,1990-12-19,34,Outro,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,República,,,Postos de Combustível e Serviços Automotivos
(61) 93022-8690,2001-06-30,24,Feminino,São Paulo,Vila Prudente,,placeholder_campanha,,,,Lanchonetes e Fast-Food
(11) 97347-3121,1943-10-22,82,Outro,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Limão,São Paulo,Limão,Restaurantes com comida caseira
(11) 94107-6053,2008-06-19,17,Outro,São Paulo,Limão,,placeholder_campanha,,,,Lojas de Moda Urbana e Alternativa
(11) 97767-8915,1964-01-16,61,Outro,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Sé,,,Igrejas e Lojas de Artigos Religiosos
(11) 92030-6962,1963-04-17,62,Feminino,Rezende de Melo,Tucuruvi,São Paulo,placeholder_campanha,Campo Limpo,São Paulo,Consolação,Calçados Confortáveis e Ortopédicos
(11) 97394-1554,1972-06-17,53,Masculino,São Paulo,Ipiranga,,placeholder_campanha,,,,Lojas de Móveis e Decoração
(11) 98415-3945,1964-10-16,61,Masculino,São Paulo,Consolação,São Paulo,placeholder_campanha,República,,,Bancos e Casas Lotéricas
(11) 92436-4087,1979-07-26,46,Outro,São Paulo,Limão,São Paulo,placeholder_campanha,República,,,"Papelarias, Livrarias e Lojas de Escritório"
(11) 93447-4968,1963-07-30,62,Masculino,São Paulo,Sé,São Paulo,placeholder_campanha,Consolação,,,Fisioterapia e Terapias Complementares
(11) 95229-4706,1973-09-02,52,Outro,São Paulo,Limão,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 91507-9818,1982-08-01,43,Feminino,São Paulo,Limão,,placeholder_campanha,,,,"Bancos, Agências e Correspondentes"
(11) 98628-8892,1971-05-10,54,Outro,São Paulo,Higienópolis,,placeholder_campanha,,,,Restaurantes e Gastronomia
(11) 92880-7997,1960-04-07,65,Outro,São Paulo,República,São Paulo,placeholder_campanha,Santana,,,Farmácias e Drogarias
(71) 97272-3467,1935-09-12,90,Feminino,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Higienópolis,,,Restaurantes com comida caseira
(11) 96447-6924,1963-06-25,62,Outro,São Paulo,Tatuapé,,placeholder_campanha,,,,Clínicas Médicas e Laboratórios
(11) 95923-9229,2001-06-03,24,Outro,Ferreira,Higienópolis,São Paulo,placeholder_campanha,Limão,,,Lojas de Roupas e Sneakers
(11) 95840-4042,1987-01-27,38,Masculino,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Sé,,,Postos de Combustível e Serviços Automotivos
(11) 91413-6425,1941-09-22,84,Masculino,Pinto,Limão,São Paulo,placeholder_campanha,Higienópolis,São Paulo,Lapa,Farmácias e Drogarias
(61) 97499-8746,1954-04-27,71,Feminino,São Paulo,Vila Prudente,,placeholder_campanha,,,,Produtos Naturais e Fitoterápicos
(11) 99112-5902,1935-06-13,90,Feminino,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Tucuruvi,São Paulo,Consolação,Supermercados de Bairro e Mercadinhos
(11) 94524-7390,1952-05-14,73,Outro,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Tucuruvi,,,Supermercados de Bairro e Mercadinhos
(11) 91564-8876,1956-05-21,69,Feminino,São Paulo,República,São Paulo,placeholder_campanha,Lapa,São Paulo,Tatuapé,Restaurantes com comida caseira
(11) 95688-6824,1969-08-30,56,Masculino,São Paulo,Butantã,São Paulo,placeholder_campanha,Sé,,,"Bancos, Agências e Correspondentes"
(11) 98845-2584,1983-08-09,42,Masculino,São Paulo,Penha,São Paulo,placeholder_campanha,Penha,,,Lojas de Roupas e Calçados
(11) 98080-8657,1988-01-18,37,Masculino,São Paulo,Consolação,,placeholder_campanha,,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 95940-9131,1957-09-09,68,Feminino,São Paulo,Pinheiros,,placeholder_campanha,,,,Restaurantes com comida caseira
(11) 99694-9576,1936-11-07,89,Outro,São Paulo,Campo Limpo,São Paulo,placeholder_campanha,Consolação,São Paulo,Consolação,Clubes e Centros de Convivência
(11) 94561-8476,1969-09-30,56,Feminino,Silva,Casa Verde,São Paulo,placeholder_campanha,República,,,Supermercados e Mercados Express
(31) 94512-2925,2006-05-29,19,Masculino,São Paulo,Casa Verde,,placeholder_campanha,,,,Lojas de Moda Urbana e Alternativa
(11) 98192-1225,1951-07-22,74,Feminino,São Paulo,Sé,,placeholder_campanha,,,,Produtos Naturais e Fitoterápicos
(11) 97493-8591,1961-01-27,64,Feminino,São Paulo,Campo Limpo,São Paulo,placeholder_campanha,Consolação,,,Restaurantes com comida caseira
(11) 96787-7589,1987-02-23,38,Masculino,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Tucuruvi,,,Postos de Combustível e Serviços Automotivos
(11) 92968-3965,1999-06-10,26,Outro,São Paulo,Higienópolis,São Paulo,placeholder_campanha,Itaquera,,,Lojas de Moda Urbana e Alternativa
(11) 99801-3703,1956-08-22,69,Feminino,São Paulo,Limão,,placeholder_campanha,,São Paulo,Consolação,Fisioterapia e Terapias Complementares
(11) 91181-5904,1951-05-25,74,Outro,São Paulo,Perdizes,São Paulo,placeholder_campanha,Itaquera,,,Farmácias e Drogarias
(61) 97505-1531,1972-04-20,53,Feminino,São Paulo,Casa Verde,São Paulo,placeholder_campanha,República,São Paulo,República,"Papelarias, Livrarias e Lojas de Escritório"
(11) 92500-2842,1990-04-18,35,Outro,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,República,São Paulo,Sé,"Bancos, Agências e Correspondentes"
(11) 92447-8763,1964-12-03,60,Outro,São Paulo,Pinheiros,,placeholder_campanha,,,,Restaurantes com comida caseira
(11) 99667-2553,1949-03-29,76,Masculino,São Paulo,Itaquera,São Paulo,placeholder_campanha,Campo Limpo,,,Igrejas e Lojas de Artigos Religiosos
(11) 95042-9186,1979-11-16,45,Outro,São Paulo,Sé,São Paulo,placeholder_campanha,Itaquera,,,Lojas de Móveis e Decoração
(11) 99135-3904,2003-08-27,22,Feminino,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,República,,,Academias e Studios Fitness
(11) 97965-2178,1969-10-29,56,Masculino,São Paulo,Tatuapé,São Paulo,placeholder_campanha,Higienópolis,São Paulo,Higienópolis,Supermercados e Mercados Express
(71) 95878-3935,1946-01-07,79,Feminino,São Paulo,Higienópolis,São Paulo,placeholder_campanha,Santana,,,Clubes e Centros de Convivência
(11) 92883-6952,1982-12-02,42,Masculino,São Paulo,República,São Paulo,placeholder_campanha,Casa Verde,,,Supermercados e Mercados Express
(11) 94005-4257,1998-03-09,27,Feminino,Barbosa,Campo Limpo,,placeholder_campanha,,,,Cinema e Streaming Experience Stores
(71) 91209-2425,1969-01-30,56,Masculino,São Paulo,Ipiranga,,placeholder_campanha,,São Paulo,Campo Limpo,Lojas de Roupas e Calçados
(11) 91303-6109,1944-01-09,81,Outro,Costela,Butantã,São Paulo,placeholder_campanha,Sé,São Paulo,Santana,Restaurantes com comida caseira
(11) 97240-8565,1939-03-20,86,Outro,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Sé,São Paulo,Itaquera,Clubes e Centros de Convivência
(11) 96006-4665,1996-06-22,29,Outro,São Paulo,Penha,São Paulo,placeholder_campanha,Higienópolis,,,Lojas de Roupas e Sneakers
(11) 96948-8683,1942-06-02,83,Masculino,São Paulo,Perdizes,São Paulo,placeholder_campanha,Ipiranga,,,Clínicas Médicas e Laboratórios
(11) 99010-8649,2007-02-17,18,Masculino,São Paulo,Itaquera,São Paulo,placeholder_campanha,Limão,,,Lojas de Eletrônicos e Games
(11) 93996-7778,2008-08-31,17,Masculino,São Paulo,Lapa,São Paulo,placeholder_campanha,Higienópolis,,,Lojas de Moda Urbana e Alternativa
(11) 97882-2029,1986-08-29,39,Masculino,Oliveira Alegre,Ipiranga,São Paulo,placeholder_campanha,Tucuruvi,,,Postos de Combustível e Serviços Automotivos
(11) 98845-5806,1978-05-18,47,Masculino,Sales,Tucuruvi,,placeholder_campanha,,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 91836-3756,1947-02-14,78,Feminino,São Paulo,Campo Limpo,São Paulo,placeholder_campanha,Sé,,,Calçados Confortáveis e Ortopédicos
(11) 95322-6485,2006-11-30,18,Outro,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Higienópolis,,,Coworkings e Centros de Estudo/Conexão
(11) 96715-6793,1995-04-23,30,Outro,São Paulo,Casa Verde,São Paulo,placeholder_campanha,República,,,Lanchonetes e Fast-Food
(11) 93125-5148,1995-05-06,30,Masculino,São Paulo,Casa Verde,São Paulo,placeholder_campanha,Bela Vista,,,Cinema e Streaming Experience Stores
(11) 99588-7526,1957-05-07,68,Feminino,São Paulo,Perdizes,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 96724-5581,1988-09-25,37,Outro,São Paulo,Consolação,,placeholder_campanha,,,,Supermercados e Mercados Express
(11) 99717-4537,2009-02-26,16,Masculino,São Paulo,Penha,,placeholder_campanha,,,,Lojas de Roupas e Sneakers
(11) 92980-5057,1952-04-20,73,Feminino,São Paulo,Tatuapé,,placeholder_campanha,,,,Igrejas e Lojas de Artigos Religiosos
(11) 91478-8777,1996-03-28,29,Masculino,São Paulo,Consolação,,placeholder_campanha,,,,Cafeterias e Bistrôs Modernos
(11) 97329-4578,1962-01-24,63,Masculino,São Paulo,Limão,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 93312-7678,1959-02-12,66,Feminino,São Paulo,Pinheiros,São Paulo,placeholder_campanha,Consolação,São Paulo,Sé,Clubes e Centros de Convivência
(11) 97996-5365,1974-08-05,51,Outro,Viana,Vila Prudente,,placeholder_campanha,,,,"Bancos, Agências e Correspondentes"
(11) 93236-8957,1979-11-21,45,Masculino,São Paulo,Lapa,,placeholder_campanha,,São Paulo,Consolação,Supermercados e Mercados Express
(11) 95647-2143,1956-01-28,69,Masculino,São Paulo,Bela Vista,São Paulo,placeholder_campanha,Bela Vista,,,Produtos Naturais e Fitoterápicos
(11) 96372-2883,1974-01-01,51,Feminino,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Vila Prudente,,,Lojas de Roupas e Calçados
(11) 94216-4867,1936-09-08,89,Masculino,São Paulo,Limão,São Paulo,placeholder_campanha,Vila Prudente,,,Calçados Confortáveis e Ortopédicos
(11) 98750-9652,1987-10-12,38,Outro,São Paulo,Itaquera,São Paulo,placeholder_campanha,Penha,,,Restaurantes e Gastronomia
(11) 94042-8656,1979-10-03,46,Masculino,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Sé,São Paulo,Higienópolis,Farmácias e Drogarias
(71) 93987-4918,2003-02-02,22,Outro,São Paulo,Sé,,placeholder_campanha,,,,Lojas de Roupas e Sneakers
(11) 98564-5154,1989-07-29,36,Feminino,São Paulo,Lapa,São Paulo,placeholder_campanha,Bela Vista,,,"Bancos, Agências e Correspondentes"
(31) 99162-7737,1950-11-03,75,Outro,São Paulo,Itaquera,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 92083-1735,1991-09-08,34,Outro,São Paulo,Vila Prudente,,placeholder_campanha,,,,Supermercados e Mercados Express
(11) 95379-1668,1978-07-09,47,Feminino,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Casa Verde,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 94215-1174,1973-11-06,52,Masculino,São Paulo,Penha,São Paulo,placeholder_campanha,República,,,Supermercados e Mercados Express
(11) 95297-3118,1960-03-07,65,Feminino,São Paulo,Consolação,,placeholder_campanha,,São Paulo,Itaquera,Restaurantes com comida caseira
(11) 95199-5025,1979-08-17,46,Outro,Ferreira de Silva,Santo Amaro,São Paulo,placeholder_campanha,Higienópolis,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(41) 91682-6168,1942-01-31,83,Outro,São Paulo,Bela Vista,São Paulo,placeholder_campanha,Bela Vista,,,Calçados Confortáveis e Ortopédicos
(11) 96607-3531,1980-12-14,44,Feminino,São Paulo,Consolação,São Paulo,placeholder_campanha,Consolação,,,Supermercados e Mercados Express
(11) 97589-7243,1989-07-05,36,Masculino,São Paulo,Butantã,,placeholder_campanha,,São Paulo,Sé,Clínicas de Saúde e Bem-estar
(11) 91052-5011,1936-06-27,89,Masculino,São Paulo,Perdizes,São Paulo,placeholder_campanha,Penha,,,Farmácias e Drogarias
(11) 98584-4415,2003-07-19,22,Masculino,São Paulo,Higienópolis,,placeholder_campanha,,,,Academias e Studios Fitness
(11) 96347-1071,1994-04-23,31,Masculino,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Jabaquara,,,Lojas de Móveis e Decoração
(31) 91908-5930,1953-12-08,71,Outro,São Paulo,Consolação,São Paulo,placeholder_campanha,Santo Amaro,,,Calçados Confortáveis e Ortopédicos
(11) 95716-8344,1998-12-01,26,Masculino,Fernandes,Penha,São Paulo,placeholder_campanha,Vila Prudente,,,Espaços Culturais e de Experiência Interativa
(11) 93463-5438,1940-12-15,84,Outro,São Paulo,Itaquera,São Paulo,placeholder_campanha,Penha,,,Produtos Naturais e Fitoterápicos
(11) 93381-4076,1944-01-11,81,Outro,São Paulo,Santo Amaro,,placeholder_campanha,,,,Fisioterapia e Terapias Complementares
(11) 92613-9264,1960-04-09,65,Feminino,São Paulo,Penha,São Paulo,placeholder_campanha,Sé,,,Produtos Naturais e Fitoterápicos
(11) 92298-6513,1972-05-05,53,Feminino,São Paulo,Casa Verde,São Paulo,placeholder_campanha,Higienópolis,,,"Papelarias, Livrarias e Lojas de Escritório"
(11) 95969-5289,1999-07-09,26,Outro,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Santana,,,Cinema e Streaming Experience Stores
(11) 95615-2886,1961-05-29,64,Outro,São Paulo,Bela Vista,São Paulo,placeholder_campanha,República,São Paulo,Santana,Bancos e Casas Lotéricas
(21) 98268-7766,1990-08-10,35,Outro,Sales,Penha,,placeholder_campanha,,,,"Bancos, Agências e Correspondentes"
(11) 96449-9328,2006-06-27,19,Outro,São Paulo,Consolação,São Paulo,placeholder_campanha,Tucuruvi,,,Academias e Studios Fitness
(11) 98405-9137,1978-04-23,47,Feminino,São Paulo,Lapa,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 99426-8329,1983-07-24,42,Masculino,São Paulo,Lapa,,placeholder_campanha,,São Paulo,Higienópolis,Supermercados e Mercados Express
(11) 92017-5669,1950-01-15,75,Feminino,São Paulo,Butantã,,placeholder_campanha,,,,Igrejas e Lojas de Artigos Religiosos
(11) 97816-8566,1961-05-23,64,Feminino,Nogueira,Sé,São Paulo,placeholder_campanha,Higienópolis,,,Restaurantes com comida caseira
(11) 99004-2923,1944-01-22,81,Masculino,São Paulo,Lapa,São Paulo,placeholder_campanha,Jabaquara,,,Restaurantes com comida caseira
(11) 91341-7153,1937-08-09,88,Feminino,São Paulo,Higienópolis,,placeholder_campanha,,,,Clubes e Centros de Convivência
(11) 98908-7509,1980-07-22,45,Feminino,São Paulo,República,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 94308-5526,1978-01-22,47,Masculino,São Paulo,Perdizes,,placeholder_campanha,,São Paulo,República,Clínicas de Saúde e Bem-estar
(11) 95747-6786,1951-06-30,74,Feminino,São Paulo,Itaquera,,placeholder_campanha,,,,Restaurantes com comida caseira
(11) 93015-7946,1935-12-13,89,Outro,Monteiro da Serra,Tucuruvi,São Paulo,placeholder_campanha,Limão,,,Restaurantes com comida caseira
(11) 91884-6834,1980-01-30,45,Masculino,São Paulo,Lapa,São Paulo,placeholder_campanha,Bela Vista,São Paulo,Bela Vista,Clínicas de Saúde e Bem-estar
(61) 96260-3599,1938-11-04,87,Masculino,São Paulo,Lapa,São Paulo,placeholder_campanha,Sé,,,Farmácias e Drogarias
(11) 94974-2123,1953-09-20,72,Outro,São Paulo,Consolação,São Paulo,placeholder_campanha,Butantã,,,Farmácias e Drogarias
(21) 97038-7091,1936-12-22,88,Outro,São Paulo,República,São Paulo,placeholder_campanha,Consolação,São Paulo,República,Farmácias e Drogarias
(11) 94110-4888,1987-07-27,38,Outro,São Paulo,Lapa,São Paulo,placeholder_campanha,Bela Vista,São Paulo,Consolação,Postos de Combustível e Serviços Automotivos
(11) 98332-9499,1939-05-05,86,Masculino,Moreira,República,São Paulo,placeholder_campanha,Casa Verde,São Paulo,Santo Amaro,Restaurantes com comida caseira
(11) 98082-7622,1959-02-28,66,Masculino,São Paulo,Limão,,placeholder_campanha,,,,Farmácias e Drogarias
(11) 95898-9396,1960-05-08,65,Outro,São Paulo,Tatuapé,São Paulo,placeholder_campanha,Limão,São Paulo,Sé,Igrejas e Lojas de Artigos Religiosos
(11) 91491-5221,1999-02-16,26,Feminino,São Paulo,Tucuruvi,,placeholder_campanha,,,,Coworkings e Centros de Estudo/Conexão
(11) 98112-7659,1942-09-09,83,Masculino,São Paulo,Perdizes,São Paulo,placeholder_campanha,Higienópolis,,,Igrejas e Lojas de Artigos Religiosos
(11) 93765-6097,1989-05-24,36,Feminino,São Paulo,República,São Paulo,placeholder_campanha,Ipiranga,,,"Bancos, Agências e Correspondentes"
(71) 96487-5084,1991-12-23,33,Masculino,São Paulo,Itaquera,,placeholder_campanha,,,,Restaurantes e Gastronomia
(11) 95573-1167,1963-10-07,62,Masculino,São Paulo,Lapa,,placeholder_campanha,,,,Fisioterapia e Terapias Complementares
(11) 95395-7366,1976-04-23,49,Feminino,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Itaquera,,,"Papelarias, Livrarias e Lojas de Escritório"
(11) 93390-4981,1988-01-27,37,Outro,São Paulo,Perdizes,,placeholder_campanha,,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 99038-3250,1959-07-10,66,Masculino,Peixoto,Casa Verde,São Paulo,placeholder_campanha,Higienópolis,,,Farmácias e Drogarias
(21) 94338-9432,1950-09-04,75,Feminino,São Paulo,Tatuapé,,placeholder_campanha,,,,Calçados Confortáveis e Ortopédicos
(11) 95007-1843,1949-06-02,76,Feminino,São Paulo,Itaquera,São Paulo,placeholder_campanha,Casa Verde,,,Clubes e Centros de Convivência
(11) 97092-8542,1965-10-17,60,Outro,São Paulo,Bela Vista,São Paulo,placeholder_campanha,Bela Vista,,,Restaurantes e Gastronomia
(61) 97952-5278,1971-11-26,53,Outro,São Paulo,Butantã,São Paulo,placeholder_campanha,Lapa,São Paulo,Sé,Farmácias e Drogarias
(11) 98117-6818,1950-05-23,75,Masculino,São Paulo,Limão,São Paulo,placeholder_campanha,Consolação,São Paulo,Limão,Clubes e Centros de Convivência
(11) 92634-7040,1989-12-25,35,Masculino,São Paulo,Itaquera,São Paulo,placeholder_campanha,Higienópolis,,,Clínicas de Saúde e Bem-estar
(11) 91355-6575,1961-07-03,64,Feminino,São Paulo,Sé,São Paulo,placeholder_campanha,Higienópolis,,,Produtos Naturais e Fitoterápicos
(11) 95310-4072,1938-02-20,87,Masculino,São Paulo,Lapa,São Paulo,placeholder_campanha,Ipiranga,,,Bancos e Casas Lotéricas
(11) 99027-1780,1947-04-25,78,Feminino,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Bela Vista,,,Produtos Naturais e Fitoterápicos
(11) 92268-9045,2003-12-09,21,Masculino,São Paulo,Higienópolis,São Paulo,placeholder_campanha,República,,,Cinema e Streaming Experience Stores
(11) 97658-6928,1946-04-11,79,Outro,São Paulo,Itaquera,,placeholder_campanha,,,,Clínicas Médicas e Laboratórios
(11) 98032-2567,1948-01-24,77,Masculino,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Lapa,São Paulo,Santo Amaro,Clubes e Centros de Convivência
(11) 97001-3023,1937-12-23,87,Masculino,São Paulo,República,São Paulo,placeholder_campanha,Tucuruvi,São Paulo,Sé,Igrejas e Lojas de Artigos Religiosos
(11) 94295-8535,1956-03-14,69,Masculino,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Tatuapé,São Paulo,Consolação,Clubes e Centros de Convivência
(11) 92425-3942,1961-03-26,64,Feminino,São Paulo,Penha,São Paulo,placeholder_campanha,Consolação,São Paulo,Sé,Calçados Confortáveis e Ortopédicos
(11) 91363-7857,2006-12-03,18,Masculino,São Paulo,Itaquera,São Paulo,placeholder_campanha,Sé,,,Lanchonetes e Fast-Food
(11) 97638-8750,1970-06-21,55,Outro,São Paulo,Jabaquara,,placeholder_campanha,,São Paulo,República,Lojas de Móveis e Decoração
(11) 91682-7983,1965-11-05,60,Outro,São Paulo,Jabaquara,,placeholder_campanha,,,,Restaurantes e Gastronomia
(11) 99561-2496,1937-08-18,88,Feminino,São Paulo,Butantã,São Paulo,placeholder_campanha,Consolação,,,Bancos e Casas Lotéricas
(11) 94762-4790,2000-08-01,25,Masculino,São Paulo,Penha,São Paulo,placeholder_campanha,Higienópolis,,,Cafeterias e Bistrôs Modernos
(11) 97858-6420,1945-01-23,80,Feminino,São Paulo,Jabaquara,São Paulo,placeholder_campanha,Bela Vista,,,Bancos e Casas Lotéricas
(11) 95446-3894,2004-12-04,20,Feminino,São Paulo,Santo Amaro,,placeholder_campanha,,,,Academias e Studios Fitness
(11) 91402-3337,1999-10-06,26,Outro,São Paulo,República,,placeholder_campanha,,,,Cafeterias e Bistrôs Modernos
(11) 95993-9919,2003-05-18,22,Outro,São Paulo,Itaquera,São Paulo,placeholder_campanha,Tucuruvi,São Paulo,Tucuruvi,Lojas de Eletrônicos e Games
(31) 94901-1106,1964-02-01,61,Feminino,São Paulo,Penha,,placeholder_campanha,,São Paulo,Santana,Farmácias e Drogarias
(11) 99851-5617,1946-08-02,79,Masculino,São Paulo,Limão,São Paulo,placeholder_campanha,Santo Amaro,,,Clínicas Médicas e Laboratórios
(11) 98576-1175,1995-07-18,30,Outro,São Paulo,Consolação,São Paulo,placeholder_campanha,Higienópolis,São Paulo,Itaquera,Lojas de Eletrônicos e Games
(71) 98711-2516,1984-06-25,41,Feminino,São Paulo,Pinheiros,São Paulo,placeholder_campanha,Sé,,,Lojas de Roupas e Calçados
(11) 96809-2546,1945-07-31,80,Feminino,Farias,Casa Verde,,placeholder_campanha,,,,Bancos e Casas Lotéricas
(11) 92133-1937,1959-12-02,65,Outro,São Paulo,Penha,,placeholder_campanha,,,,Restaurantes com comida caseira
(11) 99981-4099,1986-03-26,39,Masculino,São Paulo,República,São Paulo,placeholder_campanha,Sé,São Paulo,Higienópolis,"Papelarias, Livrarias e Lojas de Escritório"
(11) 95222-5914,1965-11-11,59,Masculino,São Paulo,Perdizes,São Paulo,placeholder_campanha,Butantã,,,Clínicas de Saúde e Bem-estar
(11) 97039-8652,2007-10-21,18,Masculino,São Paulo,Vila Prudente,,placeholder_campanha,,São Paulo,Consolação,Lanchonetes e Fast-Food
(11) 96248-7969,1959-04-06,66,Masculino,São Paulo,Santana,São Paulo,placeholder_campanha,Consolação,,,Clínicas Médicas e Laboratórios
(61) 92062-2987,1971-01-16,54,Outro,São Paulo,Bela Vista,,placeholder_campanha,,São Paulo,Tucuruvi,Lojas de Móveis e Decoração
(11) 92114-5560,1942-08-03,83,Outro,São Paulo,Pinheiros,São Paulo,placeholder_campanha,Bela Vista,,,Clínicas Médicas e Laboratórios
(11) 97655-3753,1990-11-27,34,Outro,São Paulo,Ipiranga,São Paulo,placeholder_campanha,Vila Prudente,,,Farmácias e Drogarias
(11) 98604-3197,1981-02-06,44,Outro,São Paulo,Higienópolis,,placeholder_campanha,,São Paulo,Sé,"Papelarias, Livrarias e Lojas de Escritório"
(41) 98110-1461,2004-10-10,21,Feminino,São Paulo,Perdizes,São Paulo,placeholder_campanha,Sé,,,Espaços Culturais e de Experiência Interativa
(11) 93740-3446,1958-07-14,67,Masculino,São Paulo,Sé,,placeholder_campanha,,,,Bancos e Casas Lotéricas
(11) 98529-5625,1966-10-22,59,Outro,São Paulo,Butantã,São Paulo,placeholder_campanha,Sé,,,Lojas de Móveis e Decoração
(11) 95352-9600,1968-12-17,56,Feminino,São Paulo,Tucuruvi,São Paulo,placeholder_campanha,Consolação,,,Lojas de Roupas e Calçados
(11) 95294-9349,1983-06-07,42,Feminino,Lopes,Tatuapé,São Paulo,placeholder_campanha,Casa Verde,,,"Papelarias, Livrarias e Lojas de Escritório"
(41) 96028-4541,2008-10-15,17,Outro,São Paulo,Vila Prudente,,placeholder_campanha,,,,Cafeterias e Bistrôs Modernos
(11) 93369-1591,2004-03-31,21,Masculino,São Paulo,Consolação,,placeholder_campanha,,,,Barbearias/Salões com estética jovem
(11) 93016-3436,1963-04-13,62,Feminino,São Paulo,Sé,São Paulo,placeholder_campanha,Higienópolis,,,Bancos e Casas Lotéricas
(11) 91615-4487,1979-07-07,46,Outro,São Paulo,Pinheiros,São Paulo,placeholder_campanha,República,,,Postos de Combustível e Serviços Automotivos
(11) 98822-7126,1982-12-01,42,Masculino,São Paulo,Itaquera,São Paulo,placeholder_campanha,Santana,São Paulo,Limão,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 93029-2863,1985-04-15,40,Masculino,São Paulo,Vila Prudente,São Paulo,placeholder_campanha,Tucuruvi,São Paulo,Sé,"Bancos, Agências e Correspondentes"
(11) 93706-3089,1952-11-22,72,Masculino,São Paulo,República,São Paulo,placeholder_campanha,Sé,,,Farmácias e Drogarias
(11) 95536-8198,1947-09-30,78,Feminino,São Paulo,Perdizes,,placeholder_campanha,,,,Clubes e Centros de Convivência
(11) 99109-8905,1981-03-23,44,Outro,São Paulo,Tatuapé,São Paulo,placeholder_campanha,Campo Limpo,São Paulo,Tucuruvi,Clínicas de Saúde e Bem-estar
(11) 92253-2125,1993-08-11,32,Outro,São Paulo,Penha,São Paulo,placeholder_campanha,Sé,São Paulo,Santana,"Bancos, Agências e Correspondentes"
(11) 97113-8384,1956-05-19,69,Outro,São Paulo,Santo Amaro,São Paulo,placeholder_campanha,Tucuruvi,São Paulo,Higienópolis,Restaurantes com comida caseira
(11) 98546-1078,1970-07-28,55,Outro,São Paulo,Itaquera,São Paulo,placeholder_campanha,República,São Paulo,Campo Limpo,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 91990-2105,1993-10-20,32,Masculino,São Paulo,Campo Limpo,,placeholder_campanha,,,,Lojas de Eletrodomésticos e Utilidades Domésticas
(11) 96714-5561,1938-05-25,87,Outro,São Paulo,Bela Vista,São Paulo,placeholder_campanha,Bela Vista,,,Fisioterapia e Terapias Complementares
(11) 92861-4508,1961-05-23,64,Masculino,São Paulo,Perdizes,São Paulo,placeholder_campanha,República,São Paulo,Higienópolis,Supermercados de Bairro e Mercadinhos
(11) 96323-9183,1962-12-26,62,Masculino,São Paulo,Tatuapé,São Paulo,placeholder_campanha,Bela Vista,,,Restaurantes com comida caseira
(11) 93643-7297,1972-11-27,52,Masculino,São Paulo,Itaquera,,placeholder_campanha,,São Paulo,Pinheiros,Restaurantes e Gastronomia
